Key,Value
A,1
B,0
C,1
D,0
E,0
F,0
G,0
H,1
I,0
J,0
K,0
L,0
M,0
N,0
O,1
P,4
Q,0
R,0
S,0
T,1
U,0
V,2
W,2
X,0
Y,3
Z,0
last_success_proposal,0000000
A,1
B,0
C,1
D,0
E,0
F,0
G,0
H,1
I,0
J,0
K,0
L,0
M,0
N,0
O,1
P,4
Q,0
R,0
S,0
T,1
U,0
V,2
W,2
X,0
Y,3
Z,0
last_success_proposal,0000000
A,4
B,0
C,4
D,0
E,1
F,1
G,0
H,1
I,1
J,0
K,0
L,0
M,0
N,0
O,1
P,5
Q,0
R,0
S,0
T,5
U,0
V,3
W,3
X,0
Y,6
Z,0
last_success_proposal,0000001
A,4
B,0
C,4
D,0
E,1
F,1
G,0
H,1
I,1
J,0
K,0
L,0
M,0
N,0
O,1
P,5
Q,0
R,0
S,0
T,5
U,0
V,3
W,3
X,0
Y,6
Z,0
last_success_proposal,0000001
A,4
B,1
C,4
D,1
E,1
F,3
G,0
H,1
I,1
J,0
K,1
L,0
M,1
N,0
O,2
P,5
Q,0
R,0
S,1
T,9
U,0
V,4
W,3
X,0
Y,8
Z,0
last_success_proposal,0000002
A,4
B,1
C,4
D,1
E,1
F,3
G,0
H,1
I,1
J,0
K,1
L,0
M,1
N,0
O,2
P,5
Q,0
R,0
S,1
T,9
U,0
V,4
W,3
X,0
Y,8
Z,0
last_success_proposal,0000002
A,5
B,1
C,5
D,2
E,1
F,4
G,0
H,2
I,1
J,0
K,1
L,1
M,1
N,0
O,2
P,9
Q,0
R,0
S,1
T,10
U,0
V,4
W,4
X,0
Y,8
Z,0
last_success_proposal,0000003
A,5
B,1
C,5
D,2
E,1
F,4
G,0
H,2
I,1
J,0
K,1
L,1
M,1
N,0
O,2
P,9
Q,0
R,0
S,1
T,10
U,0
V,4
W,4
X,0
Y,8
Z,0
last_success_proposal,0000003
A,7
B,2
C,8
D,3
E,3
F,5
G,0
H,2
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,9
Q,0
R,0
S,1
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000004
A,7
B,2
C,8
D,3
E,3
F,5
G,0
H,2
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,9
Q,0
R,0
S,1
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000004
A,9
B,2
C,10
D,3
E,4
F,6
G,0
H,3
I,2
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,14
U,0
V,4
W,5
X,0
Y,10
Z,0
last_success_proposal,0000005
A,9
B,2
C,10
D,3
E,4
F,6
G,0
H,3
I,2
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,14
U,0
V,4
W,5
X,0
Y,10
Z,0
last_success_proposal,0000005
A,11
B,2
C,11
D,5
E,4
F,6
G,1
H,4
I,2
J,0
K,2
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,3
T,15
U,0
V,4
W,6
X,0
Y,11
Z,0
last_success_proposal,0000006
A,11
B,2
C,11
D,5
E,4
F,6
G,1
H,4
I,2
J,0
K,2
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,3
T,15
U,0
V,4
W,6
X,0
Y,11
Z,0
last_success_proposal,0000006
A,14
B,2
C,14
D,6
E,4
F,6
G,2
H,4
I,2
J,0
K,2
L,1
M,2
N,1
O,3
P,11
Q,0
R,0
S,4
T,17
U,0
V,4
W,6
X,0
Y,12
Z,0
last_success_proposal,0000007
A,14
B,2
C,14
D,6
E,4
F,6
G,2
H,4
I,2
J,0
K,2
L,1
M,2
N,1
O,3
P,11
Q,0
R,0
S,4
T,17
U,0
V,4
W,6
X,0
Y,12
Z,0
last_success_proposal,0000007
A,15
B,2
C,16
D,6
E,4
F,6
G,2
H,5
I,2
J,0
K,2
L,1
M,4
N,2
O,3
P,11
Q,0
R,0
S,5
T,20
U,0
V,4
W,7
X,0
Y,15
Z,0
last_success_proposal,0000008
A,15
B,2
C,16
D,6
E,4
F,6
G,2
H,5
I,2
J,0
K,2
L,1
M,4
N,2
O,3
P,11
Q,0
R,0
S,5
T,20
U,0
V,4
W,7
X,0
Y,15
Z,0
last_success_proposal,0000008
A,15
B,3
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,5
O,3
P,11
Q,0
R,0
S,7
T,26
U,1
V,4
W,10
X,0
Y,16
Z,0
last_success_proposal,0000009
A,15
B,3
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,5
O,3
P,11
Q,0
R,0
S,7
T,26
U,1
V,4
W,10
X,0
Y,16
Z,0
last_success_proposal,0000009
A,18
B,4
C,18
D,7
E,4
F,8
G,2
H,5
I,5
J,0
K,2
L,2
M,4
N,5
O,4
P,12
Q,0
R,0
S,7
T,27
U,1
V,4
W,11
X,0
Y,17
Z,0
last_success_proposal,0000010
A,23
B,4
C,19
D,7
E,4
F,8
G,2
H,5
I,6
J,0
K,2
L,2
M,4
N,6
O,6
P,12
Q,0
R,1
S,7
T,30
U,1
V,4
W,15
X,0
Y,19
Z,0
last_success_proposal,0000011
A,23
B,4
C,19
D,7
E,4
F,8
G,2
H,5
I,6
J,0
K,2
L,2
M,4
N,6
O,6
P,12
Q,0
R,1
S,7
T,30
U,1
V,4
W,15
X,0
Y,19
Z,0
last_success_proposal,0000011
A,24
B,4
C,21
D,7
E,5
F,8
G,2
H,5
I,8
J,0
K,2
L,2
M,4
N,7
O,6
P,13
Q,0
R,3
S,8
T,34
U,1
V,5
W,15
X,0
Y,20
Z,0
last_success_proposal,0000012
A,24
B,4
C,21
D,7
E,5
F,8
G,2
H,5
I,8
J,0
K,2
L,2
M,4
N,7
O,6
P,13
Q,0
R,3
S,8
T,34
U,1
V,5
W,15
X,0
Y,20
Z,0
last_success_proposal,0000012
A,25
B,4
C,23
D,8
E,5
F,9
G,2
H,5
I,9
J,0
K,2
L,2
M,4
N,8
O,8
P,14
Q,0
R,3
S,9
T,38
U,1
V,5
W,16
X,0
Y,22
Z,0
last_success_proposal,0000013
A,25
B,4
C,23
D,8
E,5
F,9
G,2
H,5
I,9
J,0
K,2
L,2
M,4
N,8
O,8
P,14
Q,0
R,3
S,9
T,38
U,1
V,5
W,16
X,0
Y,22
Z,0
last_success_proposal,0000013
A,25
B,4
C,23
D,8
E,5
F,9
G,2
H,5
I,9
J,0
K,2
L,2
M,4
N,8
O,8
P,14
Q,0
R,3
S,9
T,38
U,1
V,5
W,16
X,0
Y,22
Z,0
last_success_proposal,0000013
A,26
B,5
C,23
D,8
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000014
A,26
B,5
C,23
D,8
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000014
A,27
B,5
C,24
D,9
E,7
F,9
G,2
H,6
I,9
J,0
K,2
L,3
M,4
N,8
O,11
P,18
Q,0
R,6
S,9
T,40
U,1
V,6
W,20
X,0
Y,27
Z,0
last_success_proposal,0000015
A,27
B,5
C,24
D,9
E,7
F,9
G,2
H,6
I,9
J,0
K,2
L,3
M,4
N,8
O,11
P,18
Q,0
R,6
S,9
T,40
U,1
V,6
W,20
X,0
Y,27
Z,0
last_success_proposal,0000015
A,30
B,5
C,27
D,9
E,8
F,10
G,2
H,6
I,10
J,0
K,2
L,3
M,4
N,8
O,11
P,19
Q,0
R,6
S,9
T,44
U,1
V,8
W,21
X,0
Y,30
Z,0
last_success_proposal,0000016
A,30
B,5
C,27
D,9
E,8
F,10
G,2
H,6
I,10
J,0
K,2
L,3
M,4
N,8
O,11
P,19
Q,0
R,6
S,9
T,44
U,1
V,8
W,21
X,0
Y,30
Z,0
last_success_proposal,0000016
A,30
B,6
C,27
D,10
E,8
F,12
G,2
H,6
I,10
J,0
K,3
L,3
M,5
N,8
O,12
P,19
Q,0
R,6
S,10
T,48
U,1
V,9
W,21
X,0
Y,32
Z,0
last_success_proposal,0000017
A,30
B,6
C,27
D,10
E,8
F,12
G,2
H,6
I,10
J,0
K,3
L,3
M,5
N,8
O,12
P,19
Q,0
R,6
S,10
T,48
U,1
V,9
W,21
X,0
Y,32
Z,0
last_success_proposal,0000017
A,31
B,6
C,28
D,11
E,8
F,13
G,2
H,7
I,10
J,0
K,3
L,4
M,5
N,8
O,12
P,23
Q,0
R,6
S,10
T,49
U,1
V,9
W,22
X,0
Y,32
Z,0
last_success_proposal,0000018
A,31
B,6
C,28
D,11
E,8
F,13
G,2
H,7
I,10
J,0
K,3
L,4
M,5
N,8
O,12
P,23
Q,0
R,6
S,10
T,49
U,1
V,9
W,22
X,0
Y,32
Z,0
last_success_proposal,0000018
A,33
B,7
C,31
D,12
E,10
F,14
G,2
H,7
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,23
Q,0
R,6
S,10
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000019
A,33
B,7
C,31
D,12
E,10
F,14
G,2
H,7
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,23
Q,0
R,6
S,10
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000019
A,34
B,7
C,31
D,12
E,10
F,14
G,2
H,8
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000020
A,34
B,7
C,31
D,12
E,10
F,14
G,2
H,8
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000020
A,35
B,7
C,33
D,13
E,11
F,15
G,3
H,8
I,11
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,54
U,1
V,9
W,23
X,0
Y,34
Z,0
last_success_proposal,0000021
A,35
B,7
C,33
D,13
E,11
F,15
G,3
H,8
I,11
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,54
U,1
V,9
W,23
X,0
Y,34
Z,0
last_success_proposal,0000021
A,38
B,7
C,36
D,15
E,11
F,15
G,3
H,9
I,11
J,0
K,4
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,12
T,54
U,1
V,9
W,24
X,0
Y,36
Z,0
last_success_proposal,0000022
A,38
B,7
C,36
D,15
E,11
F,15
G,3
H,9
I,11
J,0
K,4
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,12
T,54
U,1
V,9
W,24
X,0
Y,36
Z,0
last_success_proposal,0000022
A,40
B,7
C,38
D,15
E,11
F,15
G,4
H,9
I,11
J,0
K,4
L,4
M,7
N,10
O,13
P,25
Q,0
R,6
S,13
T,57
U,1
V,9
W,24
X,0
Y,37
Z,0
last_success_proposal,0000023
A,40
B,7
C,38
D,15
E,11
F,15
G,4
H,9
I,11
J,0
K,4
L,4
M,7
N,10
O,13
P,25
Q,0
R,6
S,13
T,57
U,1
V,9
W,24
X,0
Y,37
Z,0
last_success_proposal,0000023
A,41
B,7
C,39
D,15
E,11
F,15
G,4
H,10
I,12
J,0
K,4
L,4
M,8
N,11
O,13
P,25
Q,0
R,6
S,15
T,62
U,1
V,9
W,25
X,0
Y,39
Z,0
last_success_proposal,0000024
A,41
B,7
C,39
D,15
E,11
F,15
G,4
H,10
I,12
J,0
K,4
L,4
M,8
N,11
O,13
P,25
Q,0
R,6
S,15
T,62
U,1
V,9
W,25
X,0
Y,39
Z,0
last_success_proposal,0000024
A,42
B,8
C,40
D,15
E,11
F,16
G,4
H,10
I,12
J,0
K,4
L,4
M,8
N,13
O,13
P,26
Q,0
R,6
S,16
T,66
U,2
V,9
W,29
X,0
Y,40
Z,0
last_success_proposal,0000025
A,42
B,8
C,40
D,15
E,11
F,16
G,4
H,10
I,12
J,0
K,4
L,4
M,8
N,13
O,13
P,26
Q,0
R,6
S,16
T,66
U,2
V,9
W,29
X,0
Y,40
Z,0
last_success_proposal,0000025
A,45
B,9
C,41
D,16
E,11
F,17
G,4
H,10
I,15
J,0
K,4
L,5
M,8
N,14
O,14
P,26
Q,0
R,6
S,16
T,67
U,2
V,9
W,31
X,0
Y,42
Z,0
last_success_proposal,0000026
A,50
B,9
C,44
D,16
E,11
F,17
G,4
H,10
I,15
J,0
K,4
L,5
M,8
N,14
O,16
P,27
Q,0
R,7
S,17
T,71
U,2
V,9
W,33
X,0
Y,43
Z,0
last_success_proposal,0000027
A,50
B,9
C,46
D,17
E,12
F,17
G,4
H,10
I,17
J,0
K,4
L,5
M,8
N,15
O,17
P,28
Q,0
R,9
S,17
T,74
U,2
V,10
W,33
X,0
Y,44
Z,0
last_success_proposal,0000028
A,51
B,10
C,46
D,17
E,13
F,18
G,4
H,10
I,18
J,0
K,4
L,5
M,8
N,16
O,18
P,28
Q,0
R,11
S,18
T,78
U,2
V,10
W,35
X,0
Y,47
Z,0
last_success_proposal,0000029
A,53
B,10
C,46
D,18
E,14
F,18
G,4
H,10
I,18
J,0
K,4
L,6
M,8
N,16
O,20
P,30
Q,0
R,12
S,18
T,79
U,2
V,11
W,37
X,0
Y,48
Z,0
last_success_proposal,0000030
A,53
B,10
C,49
D,18
E,15
F,18
G,4
H,11
I,19
J,0
K,4
L,6
M,8
N,16
O,21
P,33
Q,0
R,12
S,18
T,80
U,2
V,12
W,38
X,0
Y,52
Z,0
last_success_proposal,0000031
A,56
B,10
C,50
D,18
E,15
F,20
G,4
H,11
I,19
J,0
K,5
L,6
M,8
N,16
O,22
P,33
Q,0
R,12
S,19
T,85
U,2
V,14
W,39
X,0
Y,54
Z,0
last_success_proposal,0000032
A,56
B,11
C,50
D,20
E,15
F,21
G,4
H,11
I,19
J,0
K,5
L,7
M,9
N,16
O,22
P,35
Q,0
R,12
S,19
T,87
U,2
V,14
W,40
X,0
Y,56
Z,0
last_success_proposal,0000033
A,57
B,12
C,52
D,21
E,16
F,23
G,4
H,12
I,19
J,0
K,5
L,7
M,9
N,16
O,23
P,37
Q,0
R,12
S,19
T,89
U,2
V,14
W,40
X,0
Y,56
Z,0
last_success_proposal,0000034
A,61
B,12
C,55
D,21
E,17
F,23
G,4
H,13
I,20
J,0
K,5
L,7
M,10
N,16
O,23
P,38
Q,0
R,12
S,20
T,90
U,2
V,14
W,40
X,0
Y,57
Z,0
last_success_proposal,0000035
A,63
B,12
C,56
D,22
E,18
F,24
G,5
H,14
I,20
J,0
K,5
L,7
M,10
N,16
O,23
P,38
Q,0
R,12
S,21
T,93
U,2
V,14
W,41
X,0
Y,58
Z,0
last_success_proposal,0000036
A,65
B,12
C,59
D,24
E,18
F,24
G,5
H,14
I,20
J,0
K,6
L,7
M,10
N,17
O,23
P,38
Q,0
R,12
S,21
T,95
U,2
V,14
W,42
X,0
Y,60
Z,0
last_success_proposal,0001000
A,67
B,12
C,61
D,24
E,18
F,24
G,6
H,14
I,20
J,0
K,6
L,7
M,11
N,18
O,23
P,39
Q,0
R,12
S,22
T,97
U,2
V,14
W,43
X,0
Y,62
Z,0
last_success_proposal,0001001
A,67
B,13
C,62
D,24
E,18
F,24
G,6
H,15
I,21
J,0
K,6
L,7
M,12
N,20
O,23
P,39
Q,0
R,12
S,24
T,101
U,2
V,14
W,45
X,0
Y,63
Z,0
last_success_proposal,0001002
A,67
B,13
C,62
D,24
E,18
F,24
G,6
H,15
I,21
J,0
K,6
L,7
M,12
N,21
O,23
P,39
Q,0
R,12
S,25
T,103
U,3
V,14
W,46
X,0
Y,64
Z,0
last_success_proposal,0001003
A,70
B,14
C,64
D,25
E,18
F,26
G,6
H,15
I,23
J,0
K,6
L,8
M,12
N,21
O,24
P,40
Q,0
R,12
S,25
T,105
U,3
V,14
W,47
X,0
Y,65
Z,0
last_success_proposal,0001004
A,75
B,14
C,65
D,25
E,18
F,26
G,6
H,15
I,24
J,0
K,6
L,8
M,12
N,22
O,26
P,40
Q,0
R,13
S,25
T,108
U,3
V,14
W,51
X,0
Y,67
Z,0
last_success_proposal,0001005
A,76
B,14
C,67
D,25
E,19
F,26
G,6
H,15
I,26
J,0
K,6
L,8
M,12
N,23
O,26
P,41
Q,0
R,15
S,26
T,112
U,3
V,15
W,51
X,0
Y,68
Z,0
last_success_proposal,0001006
A,77
B,14
C,69
D,26
E,19
F,27
G,6
H,15
I,27
J,0
K,6
L,8
M,12
N,24
O,28
P,42
Q,0
R,15
S,27
T,116
U,3
V,15
W,52
X,0
Y,70
Z,0
last_success_proposal,0001007
A,78
B,15
C,69
D,26
E,21
F,27
G,6
H,15
I,27
J,0
K,6
L,9
M,12
N,24
O,30
P,42
Q,0
R,18
S,27
T,117
U,3
V,15
W,54
X,0
Y,72
Z,0
last_success_proposal,0001008
A,79
B,15
C,70
D,27
E,21
F,27
G,6
H,16
I,27
J,0
K,6
L,9
M,12
N,24
O,31
P,46
Q,0
R,18
S,27
T,118
U,3
V,16
W,56
X,0
Y,75
Z,0
last_success_proposal,0001009
A,82
B,15
C,73
D,27
E,22
F,28
G,6
H,16
I,28
J,0
K,6
L,9
M,12
N,24
O,31
P,47
Q,0
R,18
S,27
T,122
U,3
V,18
W,57
X,0
Y,78
Z,0
last_success_proposal,0001010
A,82
B,16
C,73
D,28
E,22
F,30
G,6
H,16
I,28
J,0
K,7
L,9
M,13
N,24
O,32
P,47
Q,0
R,18
S,28
T,126
U,3
V,19
W,57
X,0
Y,80
Z,0
last_success_proposal,0001011
A,83
B,16
C,74
D,29
E,22
F,31
G,6
H,17
I,28
J,0
K,7
L,10
M,13
N,24
O,32
P,51
Q,0
R,18
S,28
T,127
U,3
V,19
W,58
X,0
Y,80
Z,0
last_success_proposal,0001012
A,83
B,16
C,74
D,29
E,22
F,31
G,6
H,17
I,28
J,0
K,7
L,10
M,13
N,24
O,32
P,51
Q,0
R,18
S,28
T,127
U,3
V,19
W,58
X,0
Y,80
Z,0
last_success_proposal,0001012
A,85
B,17
C,77
D,30
E,24
F,32
G,6
H,17
I,28
J,0
K,7
L,10
M,14
N,24
O,33
P,51
Q,0
R,18
S,28
T,128
U,3
V,19
W,58
X,0
Y,81
Z,0
last_success_proposal,0001013
A,87
B,17
C,79
D,30
E,25
F,33
G,6
H,18
I,29
J,0
K,7
L,10
M,14
N,24
O,33
P,52
Q,0
R,18
S,29
T,131
U,3
V,19
W,59
X,0
Y,82
Z,0
last_success_proposal,0001014
A,87
B,17
C,79
D,30
E,25
F,33
G,6
H,18
I,29
J,0
K,7
L,10
M,14
N,24
O,33
P,52
Q,0
R,18
S,29
T,131
U,3
V,19
W,59
X,0
Y,82
Z,0
last_success_proposal,0001014
A,89
B,17
C,80
D,32
E,25
F,33
G,7
H,19
I,29
J,0
K,8
L,10
M,14
N,24
O,33
P,52
Q,0
R,18
S,30
T,132
U,3
V,19
W,60
X,0
Y,83
Z,0
last_success_proposal,0001015
A,89
B,17
C,80
D,32
E,25
F,33
G,7
H,19
I,29
J,0
K,8
L,10
M,14
N,24
O,33
P,52
Q,0
R,18
S,30
T,132
U,3
V,19
W,60
X,0
Y,83
Z,0
last_success_proposal,0001015
A,92
B,17
C,83
D,33
E,25
F,33
G,8
H,19
I,29
J,0
K,8
L,10
M,14
N,25
O,33
P,53
Q,0
R,18
S,31
T,134
U,3
V,19
W,60
X,0
Y,84
Z,0
last_success_proposal,0001016
A,92
B,17
C,83
D,33
E,25
F,33
G,8
H,19
I,29
J,0
K,8
L,10
M,14
N,25
O,33
P,53
Q,0
R,18
S,31
T,134
U,3
V,19
W,60
X,0
Y,84
Z,0
last_success_proposal,0001016
A,93
B,17
C,85
D,33
E,25
F,33
G,8
H,20
I,29
J,0
K,8
L,10
M,16
N,26
O,33
P,53
Q,0
R,18
S,32
T,137
U,3
V,19
W,61
X,0
Y,87
Z,0
last_success_proposal,0001017
A,93
B,17
C,85
D,33
E,25
F,33
G,8
H,20
I,29
J,0
K,8
L,10
M,16
N,26
O,33
P,53
Q,0
R,18
S,32
T,137
U,3
V,19
W,61
X,0
Y,87
Z,0
last_success_proposal,0001017
A,93
B,18
C,85
D,33
E,25
F,33
G,8
H,20
I,30
J,0
K,8
L,10
M,16
N,29
O,33
P,53
Q,0
R,18
S,34
T,143
U,4
V,19
W,64
X,0
Y,88
Z,0
last_success_proposal,0001018
A,93
B,18
C,85
D,33
E,25
F,33
G,8
H,20
I,30
J,0
K,8
L,10
M,16
N,29
O,33
P,53
Q,0
R,18
S,34
T,143
U,4
V,19
W,64
X,0
Y,88
Z,0
last_success_proposal,0001018
A,96
B,19
C,87
D,34
E,25
F,35
G,8
H,20
I,32
J,0
K,8
L,11
M,16
N,29
O,34
P,54
Q,0
R,18
S,34
T,144
U,4
V,19
W,65
X,0
Y,89
Z,0
last_success_proposal,0001019
A,96
B,19
C,87
D,34
E,25
F,35
G,8
H,20
I,32
J,0
K,8
L,11
M,16
N,29
O,34
P,54
Q,0
R,18
S,34
T,144
U,4
V,19
W,65
X,0
Y,89
Z,0
last_success_proposal,0001019
A,101
B,19
C,88
D,34
E,25
F,35
G,8
H,20
I,33
J,0
K,8
L,11
M,16
N,30
O,36
P,54
Q,0
R,19
S,34
T,147
U,4
V,19
W,69
X,0
Y,91
Z,0
last_success_proposal,0001020
A,101
B,19
C,88
D,34
E,25
F,35
G,8
H,20
I,33
J,0
K,8
L,11
M,16
N,30
O,36
P,54
Q,0
R,19
S,34
T,147
U,4
V,19
W,69
X,0
Y,91
Z,0
last_success_proposal,0001020
A,102
B,19
C,90
D,34
E,26
F,35
G,8
H,20
I,35
J,0
K,8
L,11
M,16
N,31
O,36
P,55
Q,0
R,21
S,35
T,151
U,4
V,20
W,69
X,0
Y,92
Z,0
last_success_proposal,0001021
A,102
B,19
C,90
D,34
E,26
F,35
G,8
H,20
I,35
J,0
K,8
L,11
M,16
N,31
O,36
P,55
Q,0
R,21
S,35
T,151
U,4
V,20
W,69
X,0
Y,92
Z,0
last_success_proposal,0001021
A,103
B,19
C,92
D,35
E,26
F,36
G,8
H,20
I,36
J,0
K,8
L,11
M,16
N,32
O,38
P,56
Q,0
R,21
S,36
T,155
U,4
V,20
W,70
X,0
Y,94
Z,0
last_success_proposal,0001022
A,103
B,19
C,92
D,35
E,26
F,36
G,8
H,20
I,36
J,0
K,8
L,11
M,16
N,32
O,38
P,56
Q,0
R,21
S,36
T,155
U,4
V,20
W,70
X,0
Y,94
Z,0
last_success_proposal,0001022
A,104
B,20
C,92
D,35
E,28
F,36
G,8
H,20
I,36
J,0
K,8
L,12
M,16
N,32
O,40
P,56
Q,0
R,24
S,36
T,156
U,4
V,20
W,72
X,0
Y,96
Z,0
last_success_proposal,0001023
A,104
B,20
C,92
D,35
E,28
F,36
G,8
H,20
I,36
J,0
K,8
L,12
M,16
N,32
O,40
P,56
Q,0
R,24
S,36
T,156
U,4
V,20
W,72
X,0
Y,96
Z,0
last_success_proposal,0001023
A,104
B,20
C,92
D,36
E,28
F,36
G,8
H,20
I,36
J,0
K,8
L,12
M,16
N,32
O,40
P,56
Q,0
R,24
S,36
T,156
U,4
V,20
W,72
X,0
Y,96
Z,0
last_success_proposal,0001024
A,104
B,20
C,92
D,36
E,28
F,36
G,8
H,20
I,36
J,0
K,8
L,12
M,16
N,32
O,40
P,56
Q,0
R,24
S,36
T,156
U,4
V,20
W,72
X,0
Y,96
Z,0
last_success_proposal,0001024
A,105
B,20
C,93
D,36
E,28
F,36
G,8
H,21
I,36
J,0
K,8
L,12
M,16
N,32
O,41
P,60
Q,0
R,24
S,36
T,157
U,4
V,22
W,74
X,0
Y,99
Z,0
last_success_proposal,0001025
A,105
B,20
C,93
D,36
E,28
F,36
G,8
H,21
I,36
J,0
K,8
L,12
M,16
N,32
O,41
P,60
Q,0
R,24
S,36
T,157
U,4
V,22
W,74
X,0
Y,99
Z,0
last_success_proposal,0001025
A,108
B,20
C,96
D,36
E,29
F,37
G,8
H,21
I,37
J,0
K,8
L,12
M,16
N,32
O,41
P,61
Q,0
R,24
S,36
